call_number,category,date_acquired,title,id,author,correction_date,correction_source
GN776.32.I75 G68 2017,Ancient Western Asia,,"Jacob Kaplan's excavations of protohistoric sites 1950s-1980s, v",,,,
N3750.N36 S57 1978,"China, South Asia, & East Asia",,正倉院展目錄= Exhibtion of Shōsō-in treasures,,,,
BT1475 .G613 1960,Egypt & North Africa,,The Gospel of truth: a Valentinian meditation on the gospel,,,,
N7301 .B54 1987,"China, South Asia, & East Asia",,Indian art,,,,
DK508.95.C544 Z828 1994,The Caucasus & The Western Steppe,,Херсонес Таврический и Римская Империя: очерки военно-политической истории,,,,
DS797.33.H477 A13 2016,"China, South Asia, & East Asia",,"2009-2013年合浦汉晋墓发掘报告=An excavation report of the Han-Jin period tombs at Hepu in 2009-2013, v",,,,
DS797.28.Y67 B56 1982,"China, South Asia, & East Asia",,炳靈寺石窟,,,,
DS797.44.X534 X66 2016,"China, South Asia, & East Asia",,淅川阎杆岭墓地=Yanganling cemetery in Xichuan county,,,,
QB107 .J65 2017,European and Classical Antiquity,,"A portable cosmos: revealing the Antikythera Mechanism, scientific wonder of the ancient world",,,,
DS73.4 .U54 2015,Ancient Western Asia,,Understanding hegemonic practices of the early Assyrian Empire: essays dedicated to Frans Wiggermann: Consolidating empires project I,,,,
GN848.A1 P65 Non-circulating,European and Classical Antiquity,2012-06-05T00:00:00.000000,Polish archaeology in the Mediterranean.,,,,
DT269.R35 M33 1970,Egypt & North Africa,,"La nécropole romaine de Raqqada, fasc",,,,
DS747.42 .Q56 2001,"China, South Asia, & East Asia",,秦漢文化,,,,
DA687.G9 B38 2011,European and Classical Antiquity,,Roman London's amphitheatre,,,,
GN778.22.T73 P64 1997,The Caucasus & The Western Steppe,,Закавказские бронзовые пояса с гравированными изображениями,,,,
GN778.22.E218 P67 1989,The Caucasus & The Western Steppe,,Поселения срубной общности: межвузовский сборник научных трудов,,,,
DK34.S4 G858 2016,The Caucasus & The Western Steppe,,Зооморфные металлические крючки скифского времени в Евразии: каталог и описание,,,,
CJ548.5.C48 F76 2015,Central Asia & Siberia,,Античные монеты и свинцовые тессеры Херсонеса Таврического в собрании Государственного исторического музея: каталог,,,,
BR67 .S44 2016,European and Classical Antiquity,,Seeing through the eyes of faith: new approaches to the mystagogy of the church fathers,,,,
CJ217.F8 J36 1980,European and Classical Antiquity,,"Monnaies grecques antiques: description et planches, t",,,,
DK30 .O273 2012,The Caucasus & The Western Steppe,,Образы времени: из истории древнего искусства : к 80-летию С,,,,
DS56 .M85 1979,Ancient Western Asia,,Unexcavated objects and ancient Near Eastern art: addenda,,,,
PL3031.R862 L36 1960,"China, South Asia, & East Asia",,居延漢簡,,,,
DS715 .C446 2016,"China, South Asia, & East Asia",,陈元甫考古文集,,,,
CC75 .F48 2018,Cross-Cultural Studies & Other,,Protocoles d'études des objets archéologiques,,,,
BV4006 .R45 1970,Ancient Western Asia,,La cura pastorale in Antiochia nel IV secolo,,,,
N5899.S3 V79 1972,The Caucasus & The Western Steppe,,Скифо-сибирский звериный стиль в искусстве народов Евразии: [Докл,,,,
CC75 .M85 2015,Cross-Cultural Studies & Other,,"Мультидисциплинарные методы в археологии: новейшие итоги и перспективы: материалы международного симпозиума ""Мультидисциплинарные методы в археологии : новейшие итоги и перспективы"", (22-26 июня 2015 г",,,,
P945 .L87 1997,Ancient Western Asia,,Hittite,,,,
DK500.D65 K358 2003. From the Library of Aleksandr Leskov,Central Asia & Siberia,,Studien zur Katakombengrabkultur zwischen Dnepr und Prut,,,,
N8193.C6 W44 2009,"China, South Asia, & East Asia",,甘肅佛教石窟考古论集,,,,
N7161 .A52 1983,Ancient Western Asia,,"The Anatolian civilisations: Istanbul, May 22-October 30, 1983, v",,,,
B398.P75 B474 2003,European and Classical Antiquity,,Proportion bei Platon,,,,
BS1233 .B53 1997,Ancient Western Asia,,Genesis,,,,
PA3306.B7 M87 1977,Egypt & North Africa,,Au temps où on lisait le grec en Égypte: catalogue de l'exposition de papyrus et d'ostraca,,,,
DK511.K16 S5 1966,The Caucasus & The Western Steppe,,Новые археологические памятники на территории Калмыцкой АССР (по раскопкам 1962-1963 гг,,,,
BM176 .R448 2016,Ancient Western Asia,,Religion in the Achaemenid Persian empire: emerging Judaisms and trends,,,,
N5899.S3 G28 1966,Central Asia & Siberia,,Культура и искусство скифов и ранних кочевников Алтая,,,,
DS392.G36 T57 1985,Central Asia & Siberia,,Gandhâra,,,,
DK30 .A69 1941,The Caucasus & The Western Steppe,,"Археологические исследования в РСФСР, 1934-1936 гг",,,,
PJ3721.U7 L59 2017,Ancient Western Asia,,"Organization, administrative practices and written documentation in Mesopotamia during the Ur III period (c",,,,
DS793.K8 A127 2015,"China, South Asia, & East Asia",,2003-2013贵州基建考古重要发现,,,,
KL707 .H337 1965,Ancient Western Asia,,Einführung in das Studium keilschriftlicher Rechtsquellen,,,,
PJ1125 .L4 1947,Egypt & North Africa,,"Grammaire démotique, v",,,,
DS62.23 S64 1997,Ancient Western Asia,,"Life in the ancient Near East, 3100-332 B",,,,
N5370 .S963 2017,Ancient Western Asia,,Sumeria y el paradigma moderno,,,,
T16 .F67 1964 Non-circulating,Cross-Cultural Studies & Other,2011-04-08T00:00:00.000000,Studies in ancient technology /,,,,
DS731.U4 W45 1991,"China, South Asia, & East Asia",,维吾尔族简史,,,,
KJA3060 .R43 2016,European and Classical Antiquity,,"Rechtliche Verfahren und religiöse Sanktionierung in der griechisch-römischen Antike: Akten einer deutsch-italienischen Tagung, Palermo, 11",,,,
DS111 .R48 2017,Ancient Western Asia,,Rethinking Israel: studies in the history and archaeology of ancient Israel in honor of Israel Finkelstein,,,,
GN778.2.S68 B64 2014,Central Asia & Siberia,,Боголюбовский курганный могильник срубной культуры в Оренбургской области,,,,
DA147.L66 D36 1987,European and Classical Antiquity,,Longthorpe II: the military works-depot: an episode in landscape history,,,,
DT159.6.N83 O53 2024,Egypt & North Africa,2025-12-15,Tajemná Núbie : české objevování Dolní Núbie = Mysterious Nubia : Czech exploration of Lower Nubia /,,,,
NK7376.A1 N54 1999,"China, South Asia, & East Asia",,Indian jewellery,,,,
CJ277.N5 H713 1961,The Caucasus & The Western Steppe,,Ancient coins from Olbia and Panticapaeum,,,,
DS156.B373 C68 2012 v.1-2,Ancient Western Asia,,Balboura survey and settlement in highland southwest Anatolia,,,,
CN365 .G744 2017,European and Classical Antiquity,,"Greek historical inscriptions, 478-404 BC",,,,
DK508.9.C46 D37 2011,The Caucasus & The Western Steppe,,Начало раннего железного века в Днепровской правобережной лесостепи = Початок ранньої залізної доби в Дніпровському правобережному лісостепу,,,,
BR185 .B58 1969,Ancient Western Asia,,"Rabbula von Edessa: der Christ, der Bischof, der Theologe",,,,
NB1912.B83 L85 1993,"China, South Asia, & East Asia",,龙门石窟一千五百周年国际学朮讨论会论文集,,,,
DS155 .A5987,Ancient Western Asia,,"Anatolia antiqua: recueil de travaux publiés par l'Institut français d'études anatoliennes d'Istanbul = Eski Anadolu, v",,,,
DS110.J5 P73 1964,Ancient Western Asia,,"Winery, defenses, and soundings at Gibeon,By James B",,,,
BS1197 .M55 1976,Ancient Western Asia,,The Old Testament and the historian,,,,
PJ3921.D5 F74 1998,Ancient Western Asia,,"If a city is set on a height: the Akkadian omen series Šumma alu ina mele šakin, v",,,,
DS793.T8 T855 1987,"China, South Asia, & East Asia",,敦煌吐鲁番文物=Cultural relics from Dunhuang and Turfan,,,,
GN36.R92 S23 1973 Non-circulating,Cross-Cultural Studies & Other,2013-06-28T00:00:00.000000,Museum of Anthropology and Ethnography =,,,,
NB1046.C488 C36 1993,"China, South Asia, & East Asia",,武氏祠汉画石刻考评,,,,
NB1043 .Y86 1977,"China, South Asia, & East Asia",,云冈石窟,,,,
BM155.2 .C35 1984,Ancient Western Asia,,"The Cambridge history of Judaism, v",,,,
DS70.5.B3 B35 2008,Ancient Western Asia,,"Babylon: Mythos & Wahrheit, Bd",,,,
DE2.5 .I584 2003,European and Classical Antiquity,,"Common ground: archaeology, art, science, and humanities : proceedings of the XVIth International Congress of Classical Archaeology, Boston, August 23-26, 2003",,,,
DS328 .M28 1939 Non-circulating,Central Asia & Siberia,2012-09-13T00:00:00.000000,The early empires of Central Asia :,,,,
K10 .O8718,Egypt & North Africa,,"The journal of juristic papyrology, v",,,,
DK30 .A1733,The Caucasus & The Western Steppe,,"Советская археология, 1988",,,,
DS797.28.D864 N55 1993,"China, South Asia, & East Asia",,敦煌的历史和文化,,,,
PJ3721.A84 D653 2001,Ancient Western Asia,,Neo-Assyrian legal texts in Istanbul,,,,
P945 .Z8 1984 v.8-9,Ancient Western Asia,,"Hittite etymological dictionary, v",,,,
PJ1526.T4 A55 2002,Egypt & North Africa,,Hieratische Ritzinschriften aus Theben: Paläographie der Graffiti und Steinbruchinschriften,,,,
DK651.C46 K3 1970,The Caucasus & The Western Steppe,,Очерки истории экономики Хeрсонеса Taврического в I-IV вeкaх н,,,,
PJ3721.N5 G633 2016,Ancient Western Asia,,"The Old Babylonian administrative texts in the Hilprecht Collection Jena, v",,,,
Z6869.B9 M3 1968. From the Library of Nina Garsoïan,European and Classical Antiquity,,"Byzantine numismatic bibliography, 1950-1965",,,,
DS741.3 .S55 2011,"China, South Asia, & East Asia",,"Views from within, views from beyond: approaches to the Shiji as an early work of historiography",,,,
NB1370 .H3 1942,European and Classical Antiquity,,Over den oorsprong van de grieksche grafstele,,,,
DS70.5.N9 S88 v.19 2012,Ancient Western Asia,,"The Nuzi workshop at the 55th Rencontre assyriologique internationale (July 2009, Paris)",,,,
GN8 .M32 1908 Non-circulating,Cross-Cultural Studies & Other,2007-09-12T00:00:00.000000,Anthropology and the classics :,,,,
PJ1141 .S4 1959,Egypt & North Africa,,Ägyptische Lesestücke zum Gebrauch im akademischen Unterricht: Texte der mittleren Reiches,,,,
DS261 .H85 1965,Ancient Western Asia,,"Iran, v",,,,
NK1048.J36 P73 2007,"China, South Asia, & East Asia",,The arts of Kashmir,,,,
P945.A2 G684 1970,Egypt & North Africa,,Neue Bruchstücke zum grossen Text des Hattušiliš und den Paralleltexten,,,,
P945.A2 R67 2005,Ancient Western Asia,,Hethitische Texte in Transkription KBo 45,,,,
DS797.88.X536 K847 2014,"China, South Asia, & East Asia",,跨湖桥文化国际学术研讨会论文集,,,,
D58 .H4713,European and Classical Antiquity,,The histories,,,,
DF77 .B58 1987,European and Classical Antiquity,,The archaeology of Greece: an introduction,,,,
DG233 .C67 1995,European and Classical Antiquity,,The beginnings of Rome: Italy and Rome from the Bronze Age to the Punic Wars (c,,,,
N7340 .M4 1964,"China, South Asia, & East Asia",,A handbook of Chinese art for collectors and students,,,,
NK1069.S513 C58 1996,"China, South Asia, & East Asia",,中国仙人のふるさと:山東省文物展,,,,
DS156.I44 I448 2008,Ancient Western Asia,,"Life and death in a prehistoric settlement in Northwest Anatolia: the Ilıpınar excavations, volume III: with contributions on Hacılartepe and Menteşe",,,,
DK511.C2 S43 1986 Non-circulating,The Caucasus & The Western Steppe,2009-07-24T00:00:00.000000,Drevnosti Severnogo Kavkaza :,,,,
DS171 .A762 1995,The Caucasus & The Western Steppe,,Armenien: 5000 Jahre Kunst und Kultur,,,,
CJ1375 .L95 2015,Ancient Western Asia,,Reign and religion in Palestine: the use of sacred iconography in Jewish coinage,,,,
BQ6345.F842 F325 1994,"China, South Asia, & East Asia",,法门寺=Famen temple,,,,
N7342 .E84 1995,"China, South Asia, & East Asia",,Early Chinese art: 8th century BC-9th century AD : 6 June-8 July 1995,,,,
DK511.U39 K83 1987 Non-circulating,The Caucasus & The Western Steppe,2012-10-18T00:00:00.000000,Kurgany Ulandryka /,,,,
DS747.9.C47 K47 2000,"China, South Asia, & East Asia",,The stele inscriptions of Chʻin Shih-huang: text and ritual in early Chinese imperial representation,,,,
BL2270 .B46 1938,Ancient Western Asia,,Les mages dans l'ancien Iran,,,,
P945 .Z8 2010,Ancient Western Asia,,Die hethitischen Frauennamen: Katalog und Interpretation,,,,
BL820.D5 L44 2017,European and Classical Antiquity,,Artemis and her cult,,,,
N5310.5.R9 F67 1980,The Caucasus & The Western Steppe,,Памятники первобытного искусства на территории СССР,,,,
BS192.2.A1 1964,Ancient Western Asia,,Isaiah 1-39: a new translation with introduction and commentary,,,,
CC80 .A35 1989 Non-circulating,Cross-Cultural Studies & Other,2013-01-22T00:00:00.000000,An introduction to archaeology /,,,,
BL1620 .M86 1937a,Ancient Western Asia,2025-12-08,Das assyrische Ritual.,,,,
DA677.1 .L35 2002,European and Classical Antiquity,,"The Roman tower at Shadwell, London: a reappraisal",,,,
DS557.C2 G5 1957,"China, South Asia, & East Asia",,Histoire du Cambodge,,,,
DS56 .A774 2024,Ancient Western Asia,2025-12-15,The archaeology of the 'margins' : studies on ancient West Asia in honour of Peter M.M.G. Akkermans /,,,,
GN778.22.U38 B48 1964,The Caucasus & The Western Steppe,,Бронзовий вік на Україні,,,,
PL2447 .M336 2015,"China, South Asia, & East Asia",,"清華簡""繫年""輯證",,,,
CJ2688.A75 J47 1994,European and Classical Antiquity,,Coinage in iron age Armorica,,,,
PA2402 .M313 1962,European and Classical Antiquity,,The Etruscans begin to speak,,,,
PA348.F8 G74 2017,European and Classical Antiquity,,The Greek future and its history = Le future grec et son histore,,,,
NK7983.22 .S42 1989,"China, South Asia, & East Asia",,Early Chinese metalwork in the collection of the Seattle Art Museum,,,,
GN778.22.A35 F76 2017,European and Classical Antiquity,,From cooking vessels to cultural practices in the late Bronze Age Aegean,,,,
DS66 .I57 2002,Ancient Western Asia,,V,,,,
PJ4185 .T6 1978,Ancient Western Asia,,A comparative Semitic lexicon of the Phoenician and Punic languages,,,,
DS51.I95 S95 2015,Ancient Western Asia,,Smyrna/İzmir Kazı ve Araştırmaları: I,,,,
DS793.H5 T48 2015,"China, South Asia, & East Asia",,汉唐中原:河南文物精品展=Tesori della Cina Imperiale : L'Età della Rinascita fra gli Han e i Tang (206 a,,,,
DF234.6 .A53 2017,Central Asia & Siberia,,With Alexander in India and Central Asia: moving east and back to west,,,,
R137 .W35 1996,Egypt & North Africa,,Studies in ancient Egyptian anatomical terminology,,,,
PJ1569 .H47 1959,Egypt & North Africa,,Altägyptische Liebesdichtung,,,,
P944 .L37 2016,Ancient Western Asia,,Études anatoliennes,,,,
DK511.A28 S65 1985,The Caucasus & The Western Steppe,,Сокровища курганов Адыгеи: каталог выставки,,,,
P945 .M335 2013,Ancient Western Asia,,Hethitisch °uant- und Verwan(d)tes: Untersuchungen zur Vertretung des indogermanischen Possessivsuffixes -uent- in den anatolischen Sprachen,,,,
DK30 .A1733,The Caucasus & The Western Steppe,,"Советская археология, 1981",,,,
DK509.3 .A747 1972,The Caucasus & The Western Steppe,,Археологические исследования в Молдавии в 1968-1969 гг,,,,
GN778.28 .O78 2004,The Caucasus & The Western Steppe,,Орудия труда и системы жизнеобеспечения населения Евразии: по материалам эпох палеолита - бронзы,,,,
PJ4659 .C64 2013,Ancient Western Asia,,The verbal tense system in late Biblical Hebrew prose,,,,
NK5557 .M5 1883,Ancient Western Asia,,"Les pierres gravées de la Haute-Asie: recherches sur la glyptique orientale, pt",,,,
DS38.3 .N536 2009,Ancient Western Asia,,The great Islamic conquests AD 632-750,,,,
NK7376 .C45 1964,"China, South Asia, & East Asia",,Studies in the development of ornaments and jewellery in proto-historic India,,,,
DS66 .B75 2005,Ancient Western Asia,,The kingdom of the Hittites,,,,
DS66 .L54 2003,Ancient Western Asia,,The life and times of Ḫattuŝili III and Tutḫaliya IV: proceedings of a symposium held in honour of J,,,,
DS56 .R46 2007,Ancient Western Asia,,"Language in the ancient Near East: proceedings of the 53e Rencontre assyriologique internationale, v",,,,
DK508.9.K78 Z58 2014,Central Asia & Siberia,,Ювелирные изделия из кургана Куль-Оба в собрании Исторического музея: историко-технологическое исследование,,,,
DF501 .T33 Bd.3 1981,Ancient Western Asia,,Nikopolis und Kephallēnia,,,,
GN778.22.S65 K85 1986,The Caucasus & The Western Steppe,,Культуры эпохи бронзы на территории Украины,,,,
NB1880.C6 L48 1990,"China, South Asia, & East Asia",,Into the Afterlife: Han and six dynasties Chinese tomb sculpture from the Schloss collection,,,,
Z8.B9 B68 2018,European and Classical Antiquity,,The codex and crafts in late antiquity,,,,
P945.A2 I88 v.1 1944-v.3 1954,Ancient Western Asia,,"İstanbul Arkeoloji Müzelerinde bulunan Boğazköy Tableterinden seçme metinler, v",,,,
NB1280 .N36 1989,"China, South Asia, & East Asia",,南阳汉代画像石砖,,,,
DS392.2.M6 M64 1973 Non-circulating,Central Asia & Siberia,2009-06-25T00:00:00.000000,Mohenjo-daro and the Indus civilization :,,,,
QB19 .S78 2017,Ancient Western Asia,,Studies on the ancient exact sciences in honor of Lis Brack-Bernsen,,,,
DS797.72.Y598 Y578 2016,"China, South Asia, & East Asia",,沂源东安古城,,,,
DK511.D7 K36 1993,The Caucasus & The Western Steppe,,Городища донских меотов: вопросы датировки,,,,
HV875.58.S952 E433 2009,Ancient Western Asia,,Le adozioni a Emar,,,,
GN855.R9 Z83 2014,Central Asia & Siberia,,Население Западной Сибири во II тысячелетии до нашей эры (по антропологическим данным),,,,
P945.A2 M673 2004,Ancient Western Asia,,Le lettere tra i re ittiti e i re assiri ritrovate a Ḫattuša,,,,
GN780.22.S7 S35 1969,European and Classical Antiquity,,"Die Meseta-Kulturen der Iberischen Halbinsel; mediterane und eurasische Elemente in früheisenzeitlichen Kulturen Südwesteuropas, text",,,,
DS558.A6 G73 1966,"China, South Asia, & East Asia",,Angkor: art and civilization,,,,
DF214 .H28 1967,European and Classical Antiquity,,A history of Greece to 322 B,,,,
N6797.D44 A4 2007,European and Classical Antiquity,,The art of antiquity: Piet de Jong and the Athenian Agora,,,,
NB1255.C6 P67 1976,"China, South Asia, & East Asia",,"Masterworks in wood: China and Japan : [exhibition] Portland Art Museum, November 4 through December 5, 1976, Asia House Gallery, January 13 through March 20, 1977",,,,
DK905 .K42 2011 Non-circulating,Central Asia & Siberia,2015-06-11T00:00:00.000000,Qazaqstan Respublikasy tăuelsīzdīgīnīn͡g 20 zhyldyghyna zhăne Ă.Kh. Marghūlan atyndaghy ark,,,,
DS327.7 .H85 1983,Central Asia & Siberia,,大慈恩寺三藏法師傳,,,,
DT92.7 .K717 1973,Egypt & North Africa,,Закат Птолемеев,,,,
DS109.8.J45 J49 2000,Ancient Western Asia,,"Jewish Quarter excavations in the Old City of Jerusalem: conducted by Nahman Avigad, 1969-1982, v",,,,
P959 .S25 2008,Ancient Western Asia,,"Corpus dei testi urartei, v",,,,
CC101.M628 M35 1993,Ancient Western Asia,,"The Near East: archaeology in the ""Cradle of Civilization""",,,,
DS798.9.N65 P654 2015,"China, South Asia, & East Asia",,"Курганы Суцзуктэ (Ноин-Ула, Монголия) = The Suzukteh mounds (Noin-Ula, Mongolia), ch",,,,
QK647 .S39 2011,Cross-Cultural Studies & Other,,"Anatomie europäischer Hölzer: ein Atlas zur Bestimmung europäischer Baum-, Strauch- und Zwergstrauchhölzer = Anatomy of European woods : an atlas for the identification of European trees, shrubs and dwarf shrubs",,,,
DS156.B67 S443 2007,Ancient Western Asia,,A mudbrick city wall at Hattuša: diary of a reconstruction,,,,
PJ1526.L34 U25 2004,Egypt & North Africa,,"The UCL Lahun Papyri: religious, literary, legal, mathematical, and medical",,,,
CD5210.A8 M47 2015,Ancient Western Asia,,Ancient Near Eastern cylinder and stamp seals in Australian collections,,,,
DK855.4 .S74 1980,Central Asia & Siberia,,"Краткое содержание докладов Среднеазиатско-кавказских чтений, ноябрь 1980 г",,,,
DS38.1 .B65 1989,Ancient Western Asia,,История Халифата,,,,
K10 .O8718 v.44 (2014),Egypt & North Africa,,"The journal of juristic papyrology, vol",,,,
BQ286 .V47 1994,"China, South Asia, & East Asia",,Homa and other fire rituals in Gandhāra,,,,
NK5750 .S3 1982,"China, South Asia, & East Asia",,Carved jade of ancient China,,,,
DK511.D7 P89 2001,The Caucasus & The Western Steppe,,Курганные могильники скифского времени Среднего Подонья: публикация комплексов,,,,
PJ3711 .Y25 v.1 1994,Ancient Western Asia,,Late Babylonian texts in the Nies Babylonian Collection,,,,
PJ3721.M3 M378 2008,Ancient Western Asia,,Nomades et sédentairen à Mari: la perception de la taxe-Sugâgûtum,,,,
DF553 .J4 1967,European and Classical Antiquity,,"Byzantium: the Imperial centuries, A",,,,
PJ1565 .B78 1985,Egypt & North Africa,,Lebensweisheit der Alten Ägypter,,,,
P945 .H769 2002,Ancient Western Asia,,Die Sprache der Hethiter: ihr Bau und ihre Zugehörigkeit zum indogermanischen Sprachstamm: ein Entzifferungsversuch,,,,
PJ1829 .M45 2005,Egypt & North Africa,,Ostraka demotici e bilingui da Narmuthis: ODN 100-188,,,,
N7340 .K862 1974,"China, South Asia, & East Asia",,國立故宮博物院藏品選目=Selection of masterworks in the collection of the National Palace Museum,,,,
CC137.C5 G88 2012,Ancient Western Asia,,Methoden zur Restaurierung von ungebrannten und gebrannten Keilschrifttafeln: gestern und heute,,,,
DK509 .K34 1981,The Caucasus & The Western Steppe,,Восточное Причерноморье в античную эпоху: колхские могильники,,,,
CJ435 .K57 2005,European and Classical Antiquity,,The coins,,,,
DS796.C5926 W364 2014,"China, South Asia, & East Asia",,"万州大丘坪墓群=Daqiuping Cemetery in Wanzhou, Chongqing",,,,
ND2848 .T37 1996,"China, South Asia, & East Asia",,大唐壁畫=Magnificent frescos from the great Tang dynasty,,,,
DS66 .I57 2011,Ancient Western Asia,,"Proceedings of the Eighth International Congress of Hittitology: Warsaw, 5-9 September 2011",,,,
DS35.63 .L37 2002,Ancient Western Asia,,A history of Islamic societies,,,,
ML336.2 .C53 1984,"China, South Asia, & East Asia",,龟兹樂舞壁画=Qiuci murals of music and dances,,,,
PA3314.F8 P37 1997,Egypt & North Africa,,"Papyrus Graux, III (P",,,,
GN778.22.R9 K55 1999,The Caucasus & The Western Steppe,,Прoисхождение катакомбной культуры Нижнего Пoдoнья,,,,
NB91.P4 B45 1959,Ancient Western Asia,,Алтар' Зевса в Пергаме,,,,
CJ843 .N34 1989,European and Classical Antiquity,,L'argent et les affaires à Rome des origines au IIe siècle avant J,,,,
N8193.3.A82 S56 2008,"China, South Asia, & East Asia",,佛教慈悲女神:中国古代观音菩萨=The goddess of mercy in Buddism : Chinese ancient Avalokiteshvara Bodhisattva,,,,
P945 .F755 1960,Ancient Western Asia,,"Hethitisches Keilschrift-Lesebuch, T",,,,
DS99.U35 R37 1983 v.23,Ancient Western Asia,,"Lettres en Akkadien de la ""Maison d'Urtēnu"": fouilles de 1994",,,,
DJK23 .D753 2005,The Caucasus & The Western Steppe,,"Древности Евразии: от ранней бронзы до раннего средневековья, сборник статей",,,,
BL1060 .M54 2015,Ancient Western Asia,,"Empire, church and society in the late Roman Near East: Greeks, Jews, Syrians and Saracens (collected studies, 2004-2014)",,,,
GN824.A2 V66 1969,The Caucasus & The Western Steppe,,Aрхеoлoгическая кaртa Aбхазии,,,,
DT62.T65 O35 2016,Egypt & North Africa,,Old Kingdom copper tools and model tools,,,,
DS94.5 .A45 2003,Ancient Western Asia,,The archaeology of Syria: from complex hunter-gatherers to early urban societies (c,,,,
DK34.A4 L42 2016,The Caucasus & The Western Steppe,,Aланы и сарматы в Галлии IV-V вв,,,,
NB169 .B46 2010,Central Asia & Siberia,,Princesse de Bactriane,,,,
DK679.S68 T55 1957,The Caucasus & The Western Steppe,,Позднебронзовая культура Лиахвского бассейна: (Древний могильник в с,,,,
DS797.77.F56 F464 2016,"China, South Asia, & East Asia",,"奉节营盘包墓地= The Yingpanbao burial site in Fengjie, Chongqing",,,,
CC1 .A735 Non-circulating,Cross-Cultural Studies & Other,2012-03-30T00:00:00.000000,Archaeology international /,,,,
DS797.44.L874 L96 2016,"China, South Asia, & East Asia",,鲁山杨南遗址=Yangnan site in Lushan county,,,,
CC175 .D47 2013,Cross-Cultural Studies & Other,,"Destruction: archaeological, philological and historical perspectives",,,,
BL1138.62 .E5 1908,"China, South Asia, & East Asia",,"The Bhagavadgîtâ, with the Sanatsugâtîya and the Anugîtâ",,,,
P944.5 .M43 1994,Ancient Western Asia,,Anatolian historical phonology,,,,
N3750.U53 D87 1993,"China, South Asia, & East Asia",,"Дүрслэх Урлагийн Музей =Musée des Beaux- Arts=Fine Arts Museum, Ulaan-Bataar",,,,
BX1912.85 .W35 1962,European and Classical Antiquity,,"Les cinq épîtres rimées dans l'appendice des formules de Sens (Codex Parisinus latinus 4627, fol",,,,
BQ4570.R44 R36 2013,"China, South Asia, & East Asia",,中国古代舍利瘗埋制度研究,,,,
DK508.425.S39 S56 1999,The Caucasus & The Western Steppe,,Скифы Северного Причерноморья в VII-IV вв,,,,
N7297.5.T72 Z44 1979,Central Asia & Siberia,,Амударьинский клад: каталог выставки,,,,
DS155 .G47,Ancient Western Asia,2025-12-18,Gephyra : Zeitschrift für Geschichte und Kultur der Antike auf dem Gebiet der heutigen Türkei = Günümüz Türkiyesiʼnin antik devirʼdeki tarihi ve kültürü için dergi.,,,,
DK34.C56 G48 1983,The Caucasus & The Western Steppe,,Le manuscrit R,,,,
DF261.B5 S26 2008,European and Classical Antiquity,,"The Sarakenos Cave at Akraephnion, Boeotia, Greece: the Neolithic and the Bronze Age: pottery analysis, cave occupation patterns and populations movements in central and southern Greece",,,,
DS325.T4 S35 1937. From the collection of David I. Owen,Ancient Western Asia,,"Excavations at Tepe Hissar, Damghan",,,,
PJ1551 .Y353 2003,Egypt & North Africa,,Zaubersprüche für Mutter und Kind: Papyrus Berlin 3027,,,,
CC51 .A75 1977 Non-circulating,Cross-Cultural Studies & Other,2011-03-07T00:00:00.000000,Archaeology and anthropology :,,,,
DS54.95.A43 H34 2017,Ancient Western Asia,,Alassa: excavations at the late Bronze Age sites of Pano Mantilaris and Paliotaverna 1984-2000,,,,
BX2435 .L45 1978,Egypt & North Africa,,"Désert et communion: témoignage des Pères du désert recueillis à partir des ""Paterica"" arméniens",,,,
DS70.5.G57 R49 2016,Ancient Western Asia,,For the gods of Girsu: city-state formation in ancient Sumer,,,,
P943 .H56 1987,Ancient Western Asia,,"Elamisches Wörterbuch, v",,,,
CC101.S65 G46 1982,The Caucasus & The Western Steppe,,Очерки по истории советской археологии: у истоков формирования марксистских теоретических основ советской археологии : 20-е--первая половина 30-х годов,,,,
QL41.A717 L538 2000,European and Classical Antiquity,,"Aristoteles, De Generatione Animalium, Buch V: Einleitung und Kommentar",,,,
PJ1135 .B49 2018,Egypt & North Africa,,Middle Egyptian,,,,
DS70.5.A7 M545 2017,Ancient Western Asia,,"Ausgrabungen in Assur: Wohnquartiere in der Weststadt, T",,,,
DS76 .C36 1951,Ancient Western Asia,,"Histoire de la dynastie des H'amdanides de Jazîra et de Syrie, t",,,,
DS796.S26 S664 2014,"China, South Asia, & East Asia",,"崧泽文化学术研讨会论文集, 2014",,,,
DS797.75.T357 J568 2016,"China, South Asia, & East Asia",,晋阳古城一号建筑基址,,,,
DS798.3 .M676 2016,Central Asia & Siberia,,"Монголын археологийн өв=Archaeological relics of Mongolia, v",,,,
PJ4055 .H57 1990,Ancient Western Asia,,Neo-Sumerian administrative texts of the Hirose Collection,,,,
N5310 .M84 1980,Cross-Cultural Studies & Other,,"Museum für Vor- und Frühgeschichte Berlin, Staatliche Museen Preussischer Kulturbesitz",,,,
GN799.R4 M57 2001,The Caucasus & The Western Steppe,,Mировоззрение дрeвнeгo нaселения Eвразииi: сбoрник статей,,,,
PA3343 .C65 2010,Egypt & North Africa,,"I papiri letterari cristiani: atti del Convegno internazionale di studi in memoria di Mario Naldini, Firenze, 10-11 giugno 2010",,,,
P945.A2 R674 2007,Ancient Western Asia,,Hethitische Texte in Transkription KBo 44,,,,
